,year,month,day,title,director,cast,genre,href,gross,budget,writer1(lakon layar),writer2 (script),genre1,genre2,genre3,genre_final,cast1,cast2,cast3,cast4,cast5,cast6,cast7,cast8,cast9,case10,cast1_gender,cast2_gender,cast3_gender,cast4_gender,cast5_gender,cast6_gender,cast7_gender,cast8_gender,cast9_gender,cast10,cast10_gender,male_dist3,female_dist3,male_dist4,female_dist4,male_dist5,female_dist5,male_dist6,female_dist6,male_dist7,female_dist7,male_dist8,female_dist8,male_dist9,female_dist9,male_dist10,female_dist10,gender_majority,year_col
387,2013,8,22,Paku Pontianak,Ismail Bob Hasim,"Pekin Ibrahim, Hidayah Samsudin, Uqasha Senrose, Adibah Yunus, Along Eyzendy, Sidek Hussain, Ruminah Sidek",Horror,[39],840000.00,1820000.00,,,HORROR,,,HORROR,PEKIN IBRAHIM, HIDAYAH SAMSUDIN, UQASHA SENROSE, ADIBAH YUNUS, ALONG EYZENDY, SIDEK HUSSAIN, RUMINAH SIDEK,,,,M,F,F,F,M,M,F,,,,,0.333333333,0.666666667,0.25,0.75,0.4,0.6,0.5,0.5,0.428571429,0.571428571,0.428571429,0.571428571,0.428571429,0.571428571,0.428571429,0.571428571,Female,39
364,2013,3,28,Sembunyi: Amukan Azazil,Kabir Bhatia,"Diana Danielle, Remy Ishak, Umie Aida, Sharnaaz Ahmad, Fizo Omar",Fantasy / Horror,Animasia Studios,880000.00,1300000.00,,,FANTASY,HORROR,,SCIFI/FANTASY,DIANA DANIELLE, REMY ISHAK, UMIE AIDA, SHARNAAZ AHMAD, FIZO OMAR,,,,,,F,M,F,F,M,,,,,,,0.333333333,0.666666667,0.25,0.75,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6,Female,40
389,2013,8,29,Tanda Putera,Shuhaimi Baba,"Rusdi Ramli, Zizan Nin, Faezah Elai, Linda Hashim",Action / Drama / Suspense,,930000.00,4700000.00,,,ACTION,DRAMA,SUSPENSE,ACTION,RUSDI RAMLI, ZIZAN NIN, FAEZAH ELAI, LINDA HASHIM,,,,,,,M,M,F,F,,,,,,,,0.666666667,0.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Male,41
377,2013,6,6,Lari,Ahmad Idham,"Aaron Aziz, Dira Abu Zahar, Erin Malek, Hazama Azmi",Action,Excellent Pictures,1120000.00,2500000.00,,,ACTION,,,ACTION,AARON AZIZ, DIRA ABU ZAHAR, ERIN MALEK, HAZAMA AZMI,,,,,,,M,F,F,M,,,,,,,,0.333333333,0.666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Male,42
396,2013,9,26,Bencinta,Eyra Rahman,"Farid Kamil, Nora Danish, Uqasha Senrose, Zalif Sidek, Fezrul Khan, Qi Razali",Romance,Boss Pictures,1130000.00,1500000.00,,,ROMANCE,,,ROMANCE,FARID KAMIL, NORA DANISH, UQASHA SENROSE, ZALIF SIDEK, FEZRUL KHAN, QI RAZALI,,,,,M,F,F,M,M,M,,,,,,0.333333333,0.666666667,0.5,0.5,0.6,0.4,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,Male,43
412,2013,12,12,Paku,P. Rameesh,"Aishah Ilias, Johan As'ari, Azad Jasmin, Diana Johor, Kamal Adli, Zaidi Omar",Horror,,1130000.00,1000.00,,,HORROR,,,HORROR,AISHAH ILIAS, JOHAN AS'ARI, AZAD JASMIN, DIANA JOHOR, KAMAL ADLI, ZAIDI OMAR,,,,,F,M,M,F,M,M,,,,,,0.666666667,0.333333333,0.5,0.5,0.6,0.4,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,Male,44
399,2013,10,10,Longkai,Hashim Rejab,"Faizal Hussein, Erra Fazira, Eddie, Wawa Zainal, Pierre Andre, Niezam Zaidi, Dira Abu Zahar, Zul Handyblack, Along Eyzendy, Mikail Andre",Action / Romance,[52],1160000.00,1500000.00,,,ACTION,ROMANCE,,ACTION,FAIZAL HUSSEIN, ERRA FAZIRA, EDDIE, WAWA ZAINAL, PIERRE ANDRE, NIEZAM ZAIDI, DIRA ABU ZAHAR, ZUL HANDYBLACK, ALONG EYZENDY, MIKAIL ANDRE,M,F,M,F,M,M,F,M,M, MIKAIL ANDRE,M,0.666666667,0.333333333,0.5,0.5,0.6,0.4,0.666666667,0.333333333,0.571428571,0.428571429,0.625,0.375,0.666666667,0.333333333,0.7,0.3,Male,45
355,2013,2,21,Gangster Celop,Ahmad Idham,"Syamsul Yusof, Kamal Adli, Hanis Zalikha, Yus Raja Lawak",Action / Crime,Excellent Pictures-Skop Production co-production,1330000.00,1960000.00,,,ACTION,CRIME,,THRILLER,SYAMSUL YUSOF, KAMAL ADLI, HANIS ZALIKHA, YUS RAJA LAWAK,,,,,,,M,M,F,M,,,,,,,,0.666666667,0.333333333,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,Male,46
392,2013,9,12,Lagenda Budak Hostel,Ismail Bob Hasim,"Along Cham, Along Eyzendy, Angah Raja Lawak, Nora Danish, Atikah Suhaimie, Rahim R2, Pekin Ibrahim, Epy Raja Lawak, Mikail Andre",Drama / Romance,[45],1400000.00,1500000.00,,,DRAMA,ROMANCE,,ROMANCE,ALONG CHAM, ALONG EYZENDY, ANGAH RAJA LAWAK, NORA DANISH, ATIKAH SUHAIMIE, RAHIM R2, PEKIN IBRAHIM, EPY RAJA LAWAK, MIKAIL ANDRE,,M,M,M,F,F,M,M,M,M,,,1,0,0.75,0.25,0.6,0.4,0.666666667,0.333333333,0.714285714,0.285714286,0.75,0.25,0.777777778,0.222222222,0.777777778,0.222222222,Male,47
366,2013,4,11,Langgar,Syed Hussein Syed Mustafa,"Ady Putra, Hans Isaac, Namron, Khir Rahman, Natasha Hudson, Zul Huzaimy, Nadia Heng, Bell Ngasri",Action,Tayangan Unggul,1600000.00,2100000.00,,,ACTION,,,ACTION,ADY PUTRA, HANS ISAAC, NAMRON, KHIR RAHMAN, NATASHA HUDSON, ZUL HUZAIMY, NADIA HENG, BELL NGASRI,,,M,M,M,M,F,M,F,F,,,,1,0,1,0,0.8,0.2,0.833333333,0.166666667,0.714285714,0.285714286,0.625,0.375,0.625,0.375,0.625,0.375,Male,48
393,2013,9,12,Vikingdom,Yusry Abdul Halim,"Dominic Purcell, Craig Fairbrass, Natassia Malthe, Conan Stevens, Jon Foo",Adventure,KRU International,1600000.00,20000000.00,,,ADVENTURE,,,ADVENTURE,DOMINIC PURCELL, CRAIG FAIRBRASS, NATASSIA MALTHE, CONAN STEVENS, JON FOO,,,,,,M,M,F,M,M,,,,,,,0.666666667,0.333333333,0.75,0.25,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,Male,49
359,2013,3,7,Lawak Ke Der 2,Hans Isaac,"Zizan Razak, Johan Raja Lawak, Afdlin Shauki, Harun Salim Bachik, Harith Iskander, Nabil Ahmad",Comedy,Tall Order Production,1660000.00,1900000.00,,,COMEDY,,,COMEDY,ZIZAN RAZAK, JOHAN RAJA LAWAK, AFDLIN SHAUKI, HARUN SALIM BACHIK, HARITH ISKANDER, NABIL AHMAD,,,,,M,M,M,M,M,M,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Male,50
405,2013,11,14,Firefly,Michael Chuah,"Henry Thia, Bernard Hiew, Lim Ching Miau, Michael Chuah",Action / Comedy / Superhero,Evo Pictures,1700000.00,1360000.00,,,ACTION,COMEDY,SUPERHERO,ACTION_COMEDY,HENRY THIA, BERNARD HIEW, LIM CHING MIAU, MICHAEL CHUAH,,,,,,,M,M,M,M,,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Male,51
350,2013,1,31,Wawa Semput,Ismail Bob Hasim,"Yana Samsudin, Angah Raja Lawak, Along Cham, Adibah Yunus",Comedy,Filmscape,1720000.00,1480000.00,,,COMEDY,,,COMEDY,YANA SAMSUDIN, ANGAH RAJA LAWAK, ALONG CHAM, ADIBAH YUNUS,,,,,,,F,M,M,F,,,,,,,,0.666666667,0.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Male,52
380,2013,6,27,1 Lawan Satu,Pierre Andre,"Mikail Andre, Fyza Kadir, Along Eyzendy",Action,,1800000.00,1820000.00,,,ACTION,,,ACTION,MIKAIL ANDRE, FYZA KADIR, ALONG EYZENDY,,,,,,,,M,F,M,,,,,,,,,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,Male,53
410,2013,12,5,Ular,Jason Chong,"Lisa Surihani, Yusry Abdul Halim, Izzue Islam",Horror,Showbiz Production,1800000.00,1100000.00,,,HORROR,,,HORROR,LISA SURIHANI, YUSRY ABDUL HALIM, IZZUE ISLAM,,,,,,,,F,M,M,,,,,,,,,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,Male,54
383,2013,8,1,Kara King,Namewee,"Namewee, Frankie Gao, Ng Man-Tat",Comedy / Family,Prodigee Media,2070000.00,3550000.00,,,COMEDY,FAMILY,,COMEDY,NAMEWEE, FRANKIE GAO, NG MAN-TAT,,,,,,,,M,M,M,,,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Male,55
347,2013,1,3,Minyak Dagu,Azhari Mohd Zain,"Fezrul Khan, Yana Samsudin, Fizo Omar",Horror,MIG Pictures,2370000.00,1720000.00,,,HORROR,,,HORROR,FEZRUL KHAN, YANA SAMSUDIN, FIZO OMAR,,,,,,,,M,F,M,,,,,,,,,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,Male,56
374,2013,5,23,Bikers Kental,Helmi Yusof,"Zizan Razak, Awie, Zul Ariffin, Bront Palarae, Amerul Affendi, Sufian Mohamed, Pornwippa Watcharakaroon, Julangtip Sukkasem, Harun Salim Bachik",Comedy,Astro Shaw,2720000.00,1700000.00,,,COMEDY,,,COMEDY,ZIZAN RAZAK, AWIE, ZUL ARIFFIN, BRONT PALARAE, AMERUL AFFENDI, SUFIAN MOHAMED, PORNWIPPA WATCHARAKAROON, JULANGTIP SUKKASEM, HARUN SALIM BACHIK,,M,M,M,M,M,M,M,M,M,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Male,57
